"Data Source","World Development Indicators",

"Last Updated Date","2016-10-14",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bangladesh","BGD","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0172088689747448","0.0159228163347698","0.0153274606385146","0.0157337393859992","0.0143116230202421","0.0142261583786448","0.0137880528892217","0.0119198913725554","0.0124861524017477","0.0153113710685989","0.0148186331681056","","","","","",
"Bulgaria","BGR","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16314684451031","7.72988451964289","7.51756617221145","5.97380715325113","5.70142796833314","6.02220435730978","4.64216823462007","7.59492267407803","8.47006113247099","8.88905414339139","8.62903915997123","9.54473836236523","8.9905817248151","8.41943903310001","7.6344031081033","7.64796785991868","7.48870618691197","8.1578122417845","6.72995573347664","6.26414720662722","6.06772463268202","4.91406124488091","4.91190050266354","","","","",
"Bahrain","BHR","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3573801613669","23.0446927374302","22.5563909774436","20.53588891062","20.2421490730231","22.1660509430294","23.7208390511664","22.287714127832","22.2741153224358","22.8600033372268","19.9056325567679","19.9033266988911","19.9712987323607","22.3270802163655","20.8833663986635","18.5657255543264","19.0485433466853","18.4749028844095","17.266012680027","18.26960873468","16.8370382964254","15.959915421418","","17.7325192775967","","","",
"Bahamas, The","BHS","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73436156627346","4.07887533835517","3.42675089737262","3.22648610685265","3.45662721692592","3.26923403877576","2.9812997565728","2.93490536924093","2.90924547071311","2.56801651422074","","",
"Belarus","BLR","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.15463917525773","7.67727526521496","12.0959567518865","5.91288298899789","4.54738607561616","6.50011118835307","5.77161386374857","5.05107621300816","5.31561619687883","5.35255340634765","5.67396996516555","4.60451567217237","4.64034332253229","4.9534391956956","5.27376955485436","4.76016007690803","4.28122942648561","4.17849290166751","4.44056708458011","4.81150812682164","4.50325753894668","","","","",
"Belize","BLZ","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.94495012014855","6.27827153943092","5.60701496016274","5.54860388288003","6.44481294286099","6.9637151344036","6.64019355726069","7.32727861206759","","","4.78602486456312","3.97479185384047","4.24461626031686","3.57973726122981","3.52648914300159","3.83834614757491","3.93449390352303","4.16927769074364","5.87639785385089","5.12836476278302","4.34249885684597","4.20090496751137","4.29915749182562","","","","",
"Bermuda","BMU","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3040520195729","16.50502216079","19.8412043989925","18.5038494747446","14.2701171723442","9.40430569210088","11.8585893255535","11.8381863414976","10.5500070731362","11.5477119718997","13.6769095507386","10.4041928296536","10.0370085822434","9.34177413195802","7.05051470318488","7.60712707917079","7.07422635793118","6.82189196946442","6.5488078699289","7.7326782108376","","","","","","","","","",
"Brazil","BRA","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.91451149430064","8.32530228855328","5.34218613592075","5.28006217323725","6.12621926121625","","","7.23193316636479","7.59228058071248","7.57938723660853","8.09957339776391","8.64366956139559","8.37823769571619","6.08981506825021","6.43715874047387","6.00738245070517","5.53547872503505","5.59465792669352","5.51700838819295","6.02437325735844","5.94511117961405","5.66913713779588","5.66930632162929","","","","",
"Barbados","BRB","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.44896050338","15.6934117434996","14.0743065967017","13.6787777439951","13.761466510271","11.4498518463186","10.0111413451032","","","","","","","","","","9.39041858984562","9.31006769068751","8.66437805668223","8.32879975375876","8.23222395680563","8.21591172333845","7.58563134219841","","","","",
"Central African Republic","CAF","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3083220742522","","","","14.4209653710608","11.0183495668657","14.7518493463603","","","","","","",
"Canada","CAN","Military expenditure (% of central government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.30901449340595","7.12737816108916","7.08096811092225","6.98338414552755","6.48061437134992","6.15571240679316","5.96683824287163","6.06823280981919","6.13144482755154","5.9513003003293","6.06885371684687","6.23413060251105","6.1807259872239","6.41698898813538","6.2302811019227","6.61587202822814","7.0178976036493","7.28923853923854","7.30755467331051","6.35621238644059","6.62504968063566","6.41147920045932","5.85810887618322","5.98994194475956","","",
