Sensor Name,Platform,Sensor/instrument,Sensor type,Sensor Detail,Sensor Description,Min. spatial resolution (m),Max. spatial resolution (m),Plot resolution,Min. revisit time (days),Alt. revisit time (days),Plot revisit time,Min. swath width (km),Max. swath width (km),Agency,Launch Year,Decomission Year,EBV Class,EBV,EBV Reference,EBV Authors,ha,va,xoff,yoff,Misc
QuickBird,QuickBird,QuickBird,Optical,Multispectral,Multispectral,2.4,0.6,2.4,2.5,5.6,2.5,18,18,Digital Globe,2001,2017,Species Populations,Species Occurrence,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0033751,"Fretwell et al., 2012",right,bottom,-4,4,
RadarSat-1,Radarsat 1,RadarSat-1,Radar,C-Band,Radar-C-Band,8,100,8,24,24,24,45,500,CSA,1995,2013,Ecosystem Function,Ecosystem Extent,http://www.mdpi.com/1424-8220/8/9/6055/htm,"Maillard et al., 2008",left,bottom,4,4,
RadarSat-2,Radarsat 2,RadarSat-2,Radar,C-Band,Radar-C-Band,3,100,3,24,24,24,50,500,CSA,2007,2017,Ecosystem Function,Ecosystem Extent,http://www.tandfonline.com/doi/abs/10.5589/m07-047,"Touzi et al., 2014",left,bottom,4,4,
RapidEye,RapidEye 1/2/3/4/5,RapidEye,Optical,Multispectral,Multispectral,5,5,5,1,5.5,1,77,77,RapidEye,2008,2017,Ecosystem Structure,Land Cover,http://www.tandfonline.com/doi/abs/10.1080/01431161.2012.666812,"Schuster et al., 2012",left,bottom,4,4,
Resourcesat-LISS-AWiFS,Resourcesat-1/2,LISS-AWiFS,Optical,Multispectral,Multispectral,5.8,56,5.8,5,5,5,23,70,ISRO,2003,2017,Ecosystem Function,Disturbance Regime,http://www.sciencedirect.com/science/article/pii/S0303243408000275,"Bahuguna et al., 2008",left,bottom,4,4,
RISAT-1,RISAT-1,RISAT-1,Radar,C-Band,Radar-C-Band,3,50,3,25,25,25,30,240,ISRO,2012,2017,Community Composition,Taxonomic Diversity,http://www.tandfonline.com/doi/abs/10.1080/19479832.2016.1232755,"Kumar et al., 2017",right,bottom,-4,4,
Sentinel-1A,Sentinel-1A,SAR-C,Radar,C-Band,Radar-C-Band,5,25,5,12,12,12,250,250,ESA,2013,2017,Ecosystem Function,Soil Moisture,http://www.sciencedirect.com/science/article/pii/S003442571300076X,"Paloscia et al., 2013",left,bottom,4,4,
Sentinel-2A,Sentinel-2A,MSI,Optical,Multispectral-Thermal,Multispectral-Thermal,10,20,10,5,10,5,290,290,ESA,2014,2017,Ecosystem Function,Ecosystem Extent,http://www.sciencedirect.com/science/article/pii/S0034425712000648,"Malenovsky et al., 2012",right,bottom,-4,4,
SPOT-HRV,SPOT 1–3,SPOT-HRV,Optical,Multispectral,Multispectral,10,20,10,2,3,2,60,60,EADS Astrium,1986,2009,Ecosystem Structure,Habitat Structure,http://www.sciencedirect.com/science/article/pii/003442579290056P,"Cohen et al., 1992",right,bottom,-4,4,
SPOT-HRVIR,SPOT 4,SPOT-HRVIR,Optical,Multispectral,Multispectral,10,20,10,2,3,1.9,60,60,EADS Astrium,1998,2013,Ecosystem Function,Ecosystem Extent,http://www.tandfonline.com/doi/abs/10.1080/0143116021000035030,"Bellan et al., 2003",left,bottom,4,4,
SPOT-Vegetation,"SPOT 4, SPOT 5",SPOT-Vegetation,Optical,Multispectral,Multispectral,1000,1000,1000,1,1,1,2250,2250,EADS Astrium,1998,2015,Ecosystem Function,Disturbance Regime,http://www.tandfonline.com/doi/abs/10.1080/0143116021000044850,"Gregoire et al., 2003",right,center,-4,-2,
SPOT-HRG,SPOT 5,SPOT-HRG,Optical,Multispectral,Multispectral,2.5,20,2.5,2,3,2,60,60,EADS Astrium,2002,2015,Ecosystem Structure,Forest Cover,http://www.ingentaconnect.com/content/asprs/pers/2008/00000074/00000004/art00002,"Lu et al., 2008",left,bottom,4,4,
Suomi NPP-VIIRS,Suomi NPP,VIIRS,Optical,Multispectral-Thermal,Multispectral-Thermal,375,750,375,0.5,1,0.5,3000,3000,NASA/NOAA,2000,2017,Ecosystem Function,Disturbance Regime,http://www.tandfonline.com/doi/abs/10.1080/01431161.2015.1095370,"Kogan et al., 2015",right,top,-4,-4,
Tandem-X,Tandem-X,Tandem-X,Radar,X-Band,Radar-X-Band,1,18,1,11,11,11,10,100,DLR,2010,2017,Ecosystem Structure,Aboveground Biomass,http://ieeexplore.ieee.org/abstract/document/6716039/,"Kugler et al., 2015",right,bottom,-4,4,
ASTER,Terra,ASTER,Optical,Multispectral-Thermal,Multispectral-Thermal,15,90,15,16,16,16,60,60,NASA,1999,2017,Ecosystem Structure,Functional Composition,http://www.sciencedirect.com/science/article/pii/S0034425707003318,"Pu et al., 2008",right,center,-6,0,
MODIS,Terra,MODIS,Optical,Multispectral-Thermal,Multispectral-Thermal,250,1000,250,1,2,1,2330,2330,NASA,1999,2017,Ecosystem Function,Leaf Area Index,http://www.sciencedirect.com/science/article/pii/S0034425704001257,"Fensholt et al., 2004",right,bottom,-4,4,
TerraSAR-X,TerraSAR-X,TerraSAR-X,Radar,X-Band,Radar-X-Band,1,18,1,11,11,10.45,10,100,DLR,2007,2017,Ecosystem Structure,Functional Composition,http://www.sciencedirect.com/science/article/pii/S0303243414001378,"Schuster et al., 2015",left,bottom,4,4,
AVHRR,"TIROS-N, NOAA-6/8/10",AVHRR,Optical,Multispectral-Thermal,Multispectral-Thermal,1100,1100,1100,0.5,0.5,0.5,2600,2600,NOAA,1979,2017,Ecosystem Structure,Land Cover,http://www.tandfonline.com/doi/abs/10.1080/014311600210191,"Loveland et al., 2000",right,center,-4,0,
WorldView-2,WorldView-2,WorldView-2,Optical,Multispectral,Multispectral,0.5,1.8,0.5,1.1,3.7,1.1,16.4,16.4,Digital Globe,2009,2017,Species Populations,Species Occurrence,http://www.mdpi.com/2072-4292/4/9/2661/htm,"Immitzer et al., 2012",left,bottom,4,4,
